Reporting Period,ID RSSD,UBPR2746
3/31/2022 11:59:59 PM,144034,0
3/31/2022 11:59:59 PM,144052,1007
3/31/2022 11:59:59 PM,144155,0
3/31/2022 11:59:59 PM,144678,0
3/31/2022 11:59:59 PM,144856,0
3/31/2022 11:59:59 PM,144913,0
3/31/2022 11:59:59 PM,145059,0
3/31/2022 11:59:59 PM,145545,308
3/31/2022 11:59:59 PM,145554,0
3/31/2022 11:59:59 PM,145741,0
3/31/2022 11:59:59 PM,145844,0
3/31/2022 11:59:59 PM,146056,0
3/31/2022 11:59:59 PM,146663,0
3/31/2022 11:59:59 PM,146672,384182
3/31/2022 11:59:59 PM,147651,0
3/31/2022 11:59:59 PM,147679,0
3/31/2022 11:59:59 PM,147857,0
3/31/2022 11:59:59 PM,147923,0
3/31/2022 11:59:59 PM,148171,0
3/31/2022 11:59:59 PM,148238,0
3/31/2022 11:59:59 PM,148340,0
3/31/2022 11:59:59 PM,148470,0
3/31/2022 11:59:59 PM,148715,0
3/31/2022 11:59:59 PM,148809,0
3/31/2022 11:59:59 PM,148920,0
3/31/2022 11:59:59 PM,149150,0
3/31/2022 11:59:59 PM,150035,314
3/31/2022 11:59:59 PM,150044,0
3/31/2022 11:59:59 PM,150727,0
3/31/2022 11:59:59 PM,151546,0
3/31/2022 11:59:59 PM,151957,0
3/31/2022 11:59:59 PM,152057,0
3/31/2022 11:59:59 PM,152253,0
3/31/2022 11:59:59 PM,152431,0
3/31/2022 11:59:59 PM,152440,0
3/31/2022 11:59:59 PM,153054,397
3/31/2022 11:59:59 PM,153353,837
3/31/2022 11:59:59 PM,154154,5599
3/31/2022 11:59:59 PM,154770,5524
3/31/2022 11:59:59 PM,155759,0
3/31/2022 11:59:59 PM,156457,0
3/31/2022 11:59:59 PM,156635,0
3/31/2022 11:59:59 PM,156970,0
3/31/2022 11:59:59 PM,157155,0
3/31/2022 11:59:59 PM,157379,0
3/31/2022 11:59:59 PM,157650,0
3/31/2022 11:59:59 PM,157744,0
3/31/2022 11:59:59 PM,157856,0
3/31/2022 11:59:59 PM,158376,0
3/31/2022 11:59:59 PM,158741,0
3/31/2022 11:59:59 PM,159636,0
3/31/2022 11:59:59 PM,159645,0
3/31/2022 11:59:59 PM,159953,0
3/31/2022 11:59:59 PM,159971,0
3/31/2022 11:59:59 PM,160360,0
3/31/2022 11:59:59 PM,160454,0
3/31/2022 11:59:59 PM,160650,0
3/31/2022 11:59:59 PM,160959,0
3/31/2022 11:59:59 PM,161273,0
3/31/2022 11:59:59 PM,161602,8539
3/31/2022 11:59:59 PM,162337,0
3/31/2022 11:59:59 PM,163343,0
3/31/2022 11:59:59 PM,163549,0
3/31/2022 11:59:59 PM,163857,0
3/31/2022 11:59:59 PM,164153,87
3/31/2022 11:59:59 PM,164331,0
3/31/2022 11:59:59 PM,164377,3837
3/31/2022 11:59:59 PM,164957,0
3/31/2022 11:59:59 PM,164975,0
3/31/2022 11:59:59 PM,165628,338656
3/31/2022 11:59:59 PM,165758,0
3/31/2022 11:59:59 PM,166111,43
3/31/2022 11:59:59 PM,166531,4455
3/31/2022 11:59:59 PM,166652,0
3/31/2022 11:59:59 PM,166849,0
3/31/2022 11:59:59 PM,167453,0
3/31/2022 11:59:59 PM,167752,0
3/31/2022 11:59:59 PM,168357,0
3/31/2022 11:59:59 PM,168571,0
3/31/2022 11:59:59 PM,169327,0
3/31/2022 11:59:59 PM,169354,734
3/31/2022 11:59:59 PM,169653,0
3/31/2022 11:59:59 PM,169756,0
3/31/2022 11:59:59 PM,170257,0
3/31/2022 11:59:59 PM,170275,1856
3/31/2022 11:59:59 PM,170332,0
